import time: self [us] | cumulative | imported package
import time:        32 |         32 |                       scipy.linalg._flapack_64
import time:      1338 |       3427 |                     scipy.linalg.lapack
import time:       884 |       8450 |                   scipy.linalg._misc
import time:       764 |        764 |                     scipy._cyutility
import time:      1828 |       1828 |                     scipy.linalg.cython_lapack
import time:      1481 |       1481 |                     scipy._lib._util
import time:      1852 |       5923 |                   scipy.linalg._cythonized_array_utils
import time:      4102 |       4102 |                     scipy.linalg._decomp
import time:      1842 |       1842 |                     scipy.linalg._decomp_svd
import time:      1243 |       1243 |                     scipy.linalg._solve_toeplitz
import time:      3163 |      10348 |                   scipy.linalg._basic
import time:      1023 |       1023 |                     scipy.linalg._decomp_lu_cython
import time:      1133 |       2156 |                   scipy.linalg._decomp_lu
import time:      1029 |       1029 |                   scipy.linalg._decomp_ldl
import time:      1141 |       1141 |                   scipy.linalg._decomp_cholesky
import time:      1365 |       1365 |                   scipy.linalg._decomp_qr
import time:      1235 |       1235 |                   scipy.linalg._decomp_qz
import time:      1176 |       1176 |                   scipy.linalg._decomp_schur
import time:       699 |        699 |                   scipy.linalg._decomp_polar
import time:      1222 |       1222 |                     scipy.linalg._expm_frechet
import time:      1091 |       1091 |                     scipy.linalg._matfuncs_schur_sqrtm
import time:      1461 |       1461 |                     scipy.linalg._matfuncs_expm
import time:       970 |        970 |                     scipy.linalg._linalg_pythran
import time:      2118 |       6859 |                   scipy.linalg._matfuncs
import time:      1239 |       1239 |                   scipy.linalg._special_matrices
import time:      1641 |       1641 |                   scipy.linalg._solvers
import time:       766 |        766 |                   scipy.linalg._procrustes
import time:      1352 |       1352 |                     scipy.linalg.cython_blas
import time:      2612 |       3963 |                   scipy.linalg._decomp_update
import time:       834 |        834 |                         scipy.sparse._sputils
import time:       584 |        584 |                         scipy.sparse._matrix
import time:      1284 |       2701 |                       scipy.sparse._base
import time:       991 |        991 |                         scipy.sparse._sparsetools
import time:       700 |        700 |                           scipy.sparse._data
import time:       521 |        521 |                           scipy.sparse._index
import time:       942 |       2162 |                         scipy.sparse._compressed
import time:       658 |       3811 |                       scipy.sparse._csr
import time:       656 |        656 |                       scipy.sparse._csc
